Rank,Guitarist,Author,Band,Youtube_Video
50, Robert Fripp,Steven Wilson,,https://www.youtube.com/embed/Lm8xCYZjB-M,"He had a vision for a whole sound, a whole ideology around his band, and that’s been very inspirational to me."
49, John McLaughlin,Chris Goss,Producer/Masters Of Reality,https://www.youtube.com/embed/OMTXjmVd6AI,The Mahavishnu Orchestra came out... and the music damaged me for life
48, Steve Morse,Steve Howe,Yes,https://www.youtube.com/embed/U609XEuKLPc,"He later told me that I was an influence of his, which was immensely flattering"
47, Peter Green,Rich Robinson,"The Black Crowes, The Magpie Salute",https://www.youtube.com/embed/RtmW2ek7WkQ,"To my mind, Peter Green is the finest white man I’ve ever heard playing blues guitar"
46, Robin Trower,Paul Gilbert,"Racer X, Mr Big",https://www.youtube.com/embed/sTpvd3UAXP4,"Trower is sometimes unfairly dismissed for copying Jimi Hendrix – well, there are worse people to imitate! "
45, Tom Morello,Wayne Kramer,MC5,https://www.youtube.com/embed/3L4YrGaR8E4,Morello is so far ahead of the pack it will take years for folks to catch up.
44, Paul Gilbert,Jim Davies,"The Prodigy, Pitchshifter",https://www.youtube.com/embed/rn-wj4pRpIE,Paul is human. You can relate to him.
43, Malcolm Young,Scott Ian,Anthrax,https://www.youtube.com/embed/eQluGs2SFRs,"Malcolm got through a pick for every song, because he hit the strings so hard. It’s amazing."
42, George Harrison,Elliot Easton,The Cars,https://www.youtube.com/embed/R1TLj9-jdLs,
41, Michael Schenker,Mike McReady,Pearl Jam,https://www.youtube.com/embed/JjPW35eot70,
40, Duane Allman,Charlie Starr,Blackberry Smoke,https://www.youtube.com/embed/0y8Q2PATVyI,Everything he did was for the good of the band
39, Paul Kossoff,Paul Mahon,The Answer,https://www.youtube.com/embed/YExuLkIaQ7U,Everything he did was for the good of the band
38, Keith Richards,Steven Van Zandt,Bruce Springsteen’s E Street,https://www.youtube.com/embed/761yzGz4HzQ,"He’s really just one of the last examples, in our lifetime, of someone who has a true connection to the old blues players"
37, Billy Gibbons,Keith Nelson,Buckcherry,https://www.youtube.com/embed/yMZFZitbVoY,"He’s really just one of the last examples, in our lifetime, of someone who has a true connection to the old blues players"
36, Joe Bonamassa,Leslie West,Mountain,https://www.youtube.com/embed/CEnLwMVxjkM,He played so many notes that I said he should divide by two
35, Mick Taylor,Slash,Guns N' Roses,https://www.youtube.com/embed/3fa4HUiFJ6c,It’s about how the notes are placed and how you approach them
34, Dave Mustaine,James Monteith,TesseracT,https://www.youtube.com/embed/41IoDigg72A,He’s all about the music; all about the fun and the celebration and the connection with the fans
33, James Hetfield,Jerry Cantrell,"Alice In Chains): """,https://www.youtube.com/embed/1Eq9RVKT9XQ,He’s all about the music; all about the fun and the celebration and the connection with the fans
32, Pete Townshend,Ace Frehley:,,https://www.youtube.com/embed/kf1KeXY572o,Pete Townshend taught me how to play rhythm guitar
31, Kirk Hammett,Joe Satriani,Metallica,https://www.youtube.com/embed/Ckom3gf57Yw,
30, Chuck Berry,Angus Young,,https://www.youtube.com/embed/KrbPlr4Wskc,There’s a ferocity about his playing that few guitar players can equal – a real fire and certainty that leaps out of every record and performance
29, Steve Howe,Sir Richard Bishop,"Sun City Girls, Rangda",https://www.youtube.com/embed/kmZoQFYYx8U,There’s a ferocity about his playing that few guitar players can equal – a real fire and certainty that leaps out of every record and performance
28, Rory Gallagher,Jake Burns,Stiff Little Fingers,https://www.youtube.com/embed/CL80jFkLzQ0,There’s a ferocity about his playing that few guitar players can equal – a real fire and certainty that leaps out of every record and performance
27, Zakk Wylde,Bumbefoot,,https://www.youtube.com/embed/j34juXrJWqw,He has had such an immense effect on rock music.
26, Frank Zappa,Dweezil Zappa,,https://www.youtube.com/embed/aDQE82ElyJg,Just the ferocity of it was mesmerising.
25, Yngwie Malmsteen,George Lynch,Dokken,https://www.youtube.com/embed/n6kPfe9gVJk,Just the ferocity of it was mesmerising.
24, John Petrucci,Herman Li,Dragonforce,https://www.youtube.com/embed/mipc-JxrhRk,He was such a genius; this motherfucker has a pass for anything
23, Prince,Ben Weinman,The Dillinger Escape Plan,https://www.youtube.com/embed/TvnYmWpD_T8,He was such a genius; this motherfucker has a pass for anything
22, Synyster Gates,Conor Marshall,Conjuror,https://www.youtube.com/embed/7bDg7n-chhU,
21, Carlos Santana,Dave Cousins,The Strawbs,https://www.youtube.com/embed/iFvLDAU6EhA,
