"Title","Relased_Year","Genre ","IMDB_Rating"
"Avatarâ ","2009","Action|Adventure|Fantasy|Sci-Fi","7.9"
"Jurassic Worldâ ","2015","Action|Adventure|Sci-Fi|Thriller","7"
"Titanicâ ","1997","Drama|Romance","7.7"
"Star Wars: Episode Iv - A New Hopeâ ","1977","Action|Adventure|Fantasy|Sci-Fi","8.7"
"E.T. The Extra-Terrestrialâ ","1982","Family|Sci-Fi","7.9"
"The Avengersâ ","2012","Action|Adventure|Sci-Fi","8.1"
"The Avengersâ ","2012","Action|Adventure|Sci-Fi","8.1"
"The Lion Kingâ ","1994","Adventure|Animation|Drama|Family|Musical","8.5"
"Star Wars: Episode I - The Phantom Menaceâ ","1999","Action|Adventure|Fantasy|Sci-Fi","6.5"
"The Dark Knightâ ","2008","Action|Crime|Drama|Thriller","9"
"The Hunger Gamesâ ","2012","Adventure|Drama|Sci-Fi|Thriller","7.3"
"Deadpoolâ ","2016","Action|Adventure|Comedy|Romance|Sci-Fi","8.1"
"The Hunger Games: Catching Fireâ ","2013","Adventure|Sci-Fi|Thriller","7.6"
"Jurassic Parkâ ","1993","Adventure|Sci-Fi|Thriller","8.1"
"Despicable Me 2Â ","2013","Animation|Comedy|Family|Sci-Fi","7.5"
"American Sniperâ ","2014","Action|Biography|Drama|History|Thriller|War","7.3"
"Finding Nemoâ ","2003","Adventure|Animation|Comedy|Family","8.2"
"Shrek 2Â ","2004","Adventure|Animation|Comedy|Family|Fantasy|Romance","7.2"
"The Lord Of The Rings: The Return Of The Kingâ ","2003","Action|Adventure|Drama|Fantasy","8.9"
"Star Wars: Episode Vi - Return Of The Jediâ ","1983","Action|Adventure|Fantasy|Sci-Fi","8.4"
"Forrest Gumpâ ","1994","Comedy|Drama","8.8"
"Star Wars: Episode V - The Empire Strikes Backâ ","1980","Action|Adventure|Fantasy|Sci-Fi","8.8"
"Home Aloneâ ","1990","Comedy|Family","7.5"
"Star Wars: Episode Iii - Revenge Of The Sithâ ","2005","Action|Adventure|Fantasy|Sci-Fi","7.6"
"Spider-Manâ ","2002","Action|Adventure|Fantasy|Romance","7.3"
"Minionsâ ","2015","Action|Animation|Comedy|Family|Sci-Fi","6.4"
"The Sixth Senseâ ","1999","Drama|Mystery|Thriller","8.1"
"Jawsâ ","1975","Adventure|Drama|Thriller","8"
"Frozenâ ","2013","Adventure|Animation|Comedy|Family|Fantasy|Musical","7.6"
"The Secret Life Of Petsâ ","2016","Animation|Comedy|Family","6.8"
"The Twilight Saga: New Moonâ ","2009","Adventure|Drama|Fantasy|Romance","4.6"
"The Lord Of The Rings: The Two Towersâ ","2002","Action|Adventure|Drama|Fantasy","8.7"
"The Hangoverâ ","2009","Comedy","7.8"
"My Big Fat Greek Weddingâ ","2002","Comedy|Family|Romance","6.6"
"The Twilight Saga: Eclipseâ ","2010","Adventure|Drama|Fantasy|Romance","4.9"
"Independence Dayâ ","1996","Action|Adventure|Sci-Fi","6.9"
"The Blind Sideâ ","2009","Biography|Drama|Sport","7.7"
"Raiders Of The Lost Arkâ ","1981","Action|Adventure","8.5"
"The Lord Of The Rings: The Fellowship Of The Ringâ ","2001","Action|Adventure|Drama|Fantasy","8.8"
"Beverly Hills Copâ ","1984","Action|Comedy|Crime","7.3"
"Batmanâ ","1989","Action|Adventure","7.6"
"Toy Story 3Â ","2010","Adventure|Animation|Comedy|Family|Fantasy","8.3"
"The Hunger Games: Mockingjay - Part 1Â ","2014","Adventure|Sci-Fi|Thriller","6.7"
"Iron Man 3Â ","2013","Action|Adventure|Sci-Fi","7.2"
"Avengers: Age Of Ultronâ ","2015","Action|Adventure|Sci-Fi","7.5"
"Shrekâ ","2001","Adventure|Animation|Comedy|Family|Fantasy","7.9"
"Transformers: Revenge Of The Fallenâ ","2009","Action|Adventure|Sci-Fi","6"
"Meet The Fockersâ ","2004","Comedy|Romance","6.3"
"The Dark Knight Risesâ ","2012","Action|Thriller","8.5"
"Pirates Of The Caribbean: Dead Man'S Chestâ ","2006","Action|Adventure|Fantasy","7.3"
"The Lego Movieâ ","2014","Action|Adventure|Animation|Comedy|Family|Fantasy","7.8"
"The Exorcistâ ","1973","Horror","8"
"Star Wars: Episode Ii - Attack Of The Clonesâ ","2002","Action|Adventure|Fantasy|Sci-Fi","6.7"
"Ghostâ ","1990","Drama|Fantasy|Romance|Thriller","7"
"Gone With The Windâ ","1939","Drama|History|Romance|War","8.2"
"Mrs. Doubtfireâ ","1993","Comedy|Drama|Family|Romance","6.9"
"Harry Potter And The Sorcerer'S Stoneâ ","2001","Adventure|Family|Fantasy","7.5"
"Back To The Futureâ ","1985","Adventure|Comedy|Sci-Fi","8.5"
"Aladdinâ ","1992","Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance","8"
"The Jungle Bookâ ","2016","Adventure|Drama|Family|Fantasy","7.8"
"The Jungle Bookâ ","2016","Adventure|Drama|Family|Fantasy","7.8"
"Snow White And The Seven Dwarfsâ ","1937","Animation|Family|Fantasy|Musical","7.7"
"Despicable Meâ ","2010","Animation|Comedy|Family","7.7"
"Inside Outâ ","2015","Adventure|Animation|Comedy|Drama|Family|Fantasy","8.3"
"Iron Manâ ","2008","Action|Adventure|Sci-Fi","7.9"
